"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2024","1,230.000","1,275.000","1,310.000","1,216.000","","0.00%"
"04/22/2024","1,230.000","1,115.000","1,255.500","1,003.000","","22.75%"
"04/19/2024","1,002.000","1,148.530","1,350.000","1,002.000","","-12.68%"
"04/18/2024","1,147.530","1,161.710","1,177.855","1,137.265","","-1.14%"
"04/17/2024","1,160.710","1,160.000","1,172.855","1,115.000","","2.00%"
"04/16/2024","1,138.000","1,151.000","1,190.000","1,139.000","","-1.04%"
"04/15/2024","1,150.000","1,190.000","1,190.000","1,143.500","","0.00%"
"04/12/2024","1,150.000","1,247.170","1,263.085","1,151.000","","-7.72%"
"04/11/2024","1,246.170","1,247.170","1,247.170","1,247.050","","1.31%"
"04/10/2024","1,230.000","1,247.170","1,247.170","1,235.000","","-1.30%"
"04/09/2024","1,246.170","1,231.000","1,247.170","1,231.000","","1.31%"
"04/08/2024","1,230.000","1,245.500","1,295.000","1,220.500","","-1.17%"
"04/05/2024","1,244.500","1,350.000","1,354.995","1,237.000","","-7.81%"
"04/04/2024","1,350.000","1,350.000","1,365.000","1,251.000","","0.00%"
"04/03/2024","1,350.000","1,281.000","1,365.000","1,230.000","","5.47%"
"04/02/2024","1,280.000","1,304.340","1,450.000","1,266.000","","-1.79%"
"04/01/2024","1,303.340","1,304.340","1,304.340","1,304.340","","0.03%"
"03/29/2024","1,303.000","1,416.130","1,416.130","1,304.170","","-7.92%"
"03/28/2024","1,415.130","1,416.130","1,420.065","1,290.000","","0.00%"
"03/27/2024","1,415.130","1,405.970","1,550.500","1,285.500","","0.79%"
"03/26/2024","1,404.000","1,448.890","1,577.000","1,275.500","","-3.03%"
"03/25/2024","1,447.890","1,448.890","1,661.000","1,375.500","","0.00%"
"03/22/2024","1,447.890","1,410.940","1,661.000","1,325.500","","2.69%"
"03/21/2024","1,409.940","1,562.190","1,562.190","1,300.500","","-9.69%"
"03/20/2024","1,561.190","1,477.250","1,573.500","1,420.500","","5.75%"
